매장명,위도,경도,주소
의정부신곡DT,37.726309,127.064835,경기도 의정부시 회룡로 269 (신곡동)
의정부용현DT,37.7305628,127.0843037,경기도 의정부시 시민로 468 (용현동)
의정부공원,37.740103,127.047531,경기도 의정부시 평화로 540 (의정부동)
의정부민락,37.745353,127.093792,경기도 의정부시 천보로 68 (민락동)
의정부회룡역DT,37.722373,127.047477,경기도 의정부시 평화로 341 (호원동)
의정부녹양DT,37.758477,127.040289,경기도 의정부시 비우로 119 (가능동)
의정부금오,37.753183,127.070333,"경기도 의정부시 청사로48번길 7, 대송프라자 (금오동)"
신세계의정부2F,37.737861,127.046054,"경기도 의정부시 평화로 525, 신세계백화점 2층 (의정부동)"
신세계의정부6F,37.737861,127.046054,"경기도 의정부시 평화로 525, 신세계백화점 6층 (의정부동)"
의정부송산역DT,37.740164230224,127.085685890206,경기도 의정부시 충의로 95 (용현동)
의정부민락타운,37.744429,127.098713,경기도 의정부시 오목로 196 (민락동)
의정부장암DT,37.69925,127.05465,경기도 의정부시 동일로 114 (장암동)
의정부이마트,37.7432268,127.1025002,경기도 의정부시 민락로 210 (민락동)
이천증포DT,37.29660399999999,127.45729200000005,경기도 이천시 이섭대천로 1445 (증포동)
이천사음DT,37.299106,127.407841,경기도 이천시 경충대로 3045 (사음동)
이천하이닉스,37.25251,127.489933,"경기도 이천시 부발읍 경충대로 2100 외 101호, 102호, 201호"
이천터미널,37.278191,127.446323,경기도 이천시 중리천로 84 (중리동)
포천DT,37.848396,127.161705,경기도 포천시 호국로 925 (선단동)
광릉수목원,37.7770289771454,127.165231443452,경기도 포천시 소흘읍 죽엽산로 655 
포천호국로DT,37.7960476319904,127.127279909141,경기도 포천시 소흘읍 호국로 246 
하남미사DT,37.559858,127.185729,경기도 하남시 미사강변남로 35 (망월동)
하남황산사거리,37.55078301,127.18603343,경기도 하남시 조정대로 65 (풍산동)
스타필드위례1FR,37.480058,127.148381,경기도 하남시 위례대로 200 (학암동)
미사역효성,37.567452,127.190730,경기도 하남시 아리수로 570 (망월동)
하남덕풍,37.552085,127.209351,경기도 하남시 덕풍동로 123 (덕풍동)
하남미사,37.569587,127.183283,경기도 하남시 미사강변북로30번길 130 (망월동)
스타필드하남1F(티바나),37.5445,127.2237,경기도 하남시 미사대로 750 (신장동)
신세계하남2F,37.545734,127.223439,경기도 하남시 미사대로 750 (신장동)
스타필드하남2FR,37.5453,127.2242,경기도 하남시 미사대로 750 (신장동)
하남신장,37.5383807,127.2039864,경기도 하남시 신장로 130
하남시청,37.540532,127.216148,경기도 하남시 대청로 34 (신장동)
하남시청역,37.5414173926204,127.20802671231,경기도 하남시 하남대로 808 (신장동)
하남풍산역,37.553492,127.205233,경기도 하남시 덕풍서로 80 (덕풍동) 빌리브하남 101~106호
하남감일,37.5075,127.1547,"경기도 하남시 감일백제로 169 (감이동) 현대타워, 1층 105~111호"
미사역그랑파사쥬,37.564498502419845,127.19206701191892,경기도 하남시 미사강변동로 95 (망월동) 미사역 그랑파사쥬 1층 1056~1059호
미사역파라곤스퀘어,37.56422191816654,127.1931585512229,"경기도 하남시 미사강변동로 100 (망월동), 미사역 파라곤스퀘어 1층 1011~1016호"
화성시청,37.201291,126.826193,경기도 화성시 남양읍 시청로 113 
화성봉담,37.219202,126.955485,경기도 화성시 봉담읍 동화길 51 
화성향남,37.131572,126.922767,경기도 화성시 향남읍 발안로 111 
동탄카림R,37.19972,127.1135,"경기도 화성시 동탄대로시범길 134 (청계동, 시범 반도유보라 아이비파크4.0)"
동탄능동DT,37.211975,127.053618,경기도 화성시 동탄지성로 201 (능동)
동탄역,37.197988,127.098448,경기도 화성시 동탄대로 495 (오산동)
화성병점DT,37.21261,127.038187,경기도 화성시 효행로 1015 (진안동)
동탄영천,37.20663,127.111333,경기도 화성시 동탄순환대로 692 (영천동)
신영통DT,37.2343091,127.06300199999998,경기도 화성시 영통로 43 (반월동)
동탄센트럴파크,37.2082443,127.0638898,경기도 화성시 동탄지성로 104 센트럴파티오
동탄,37.201584,127.073193,"경기도 화성시 메타폴리스로 54 (반송동, 동탄파라곤II) 1층"
동탄광장,37.204774,127.071884,"경기도 화성시 동탄지성로 17, 풍성 위버폴리스  (반송동)"
동탄이마트,37.214754,127.079887,"경기도 화성시 동탄중앙로 376, 동탄이마트 1층 (석우동)"
동탄라크몽,37.167228342028984,127.10512701402484,경기도 화성시 동탄대로5길 21 (송동) 라크몽
화성남양DT,37.2069639382399,126.819198917853,경기도 화성시 남양읍 시청로32번길 6 
화성봉담DT,37.22841,126.971844,경기도 화성시 효행로 219 (기안동)
동탄목동,37.1825,127.12466,경기도 화성시 동탄순환대로20길 124 (목동)
화성반월DT,37.220205,127.057905,경기도 화성시 효행로 1241 (반월동)
동탄트레이더스,37.19395088402858,127.09779795288936,경기도 화성시 동탄대로 451 (오산동)
동탄신리천공원,37.1838791,127.1073533,경기도 화성시 동탄신리천로 264 (오산동)
화성향남DT,37.1321648581007,126.910301095094,경기도 화성시 향남읍 삼천병마로 213 
송산그린시티,37.283841,126.817645,경기도 화성시 수노을중앙로 136 (새솔동)
동탄타임테라스,37.204873813031845,127.06912066667416,"경기도 화성시 동탄중앙로 220 (반송동, 메타폴리스)"
동탄IX타워,37.211299,127.089725,경기도 화성시 동탄첨단산업1로 27 (영천동) 동탄금강펜테리움IX타워 M8~M11호
동탄역롯데R,37.199992,127.097028,경기도 화성시 동탄역로 160 롯데백화점 동탄점
화성안녕DT,37.2026342484652,127.012915698922,경기도 화성시 효행로 751 (안녕동)
동탄디엠시티,37.20969,127.09927,"경기도 화성시 동탄대로 636-14 (영천동, 동탄역 대방디엠시티 더 센텀)"
화성향남2지구,37.1163585032065,126.91078567528949,"경기도 화성시 향남읍 발안양감로 187 발안양감로 187 센트럴프라자1동 108호,204호"
화성향남발안DT,37.1334903068842,126.941212522437,경기도 화성시 향남읍 발안로 308 
동탄호수공원,37.1721616,127.1061181,경기도 화성시 동탄대로 181 (송동)
삼송역,37.652382,126.896055,경기도 고양시 덕양구 동송로 70 (삼송동)
원흥역,37.649538,126.876107,경기도 고양시 덕양구 원흥5로 25 (원흥동)
스타필드고양3F,37.647216,126.895577,경기도 고양시 덕양구 고양대로 1955 (동산동)
스타필드고양1FR,37.64697,126.895523,경기도 고양시 덕양구 고양대로 1955 (동산동)
고양삼송,37.663813,126.891317,경기도 고양시 덕양구 신원동 628-2
고양DT,37.7095394,126.90529470000001,경기도 고양시 덕양구 호국로 1775 (고양동)
행신역,37.613996,126.834455,경기도 고양시 덕양구 충장로 14 (행신동)
원당DT,37.658155,126.837639,경기도 고양시 덕양구 호국로 811 (주교동)
화정,37.63353224,126.8314538,경기도 고양시 덕양구 화신로272번길 57 (화정동)
화정역,37.6335731,126.83273269999995,경기도 고양시 덕양구 화신로260번길 57 (화정동)
고양덕은,37.5794528561065,126.870613359914,경기도 고양시 덕양구 으뜸로 130 (덕은동)
